id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
316,1991,3.52,0,-2.787,-3.932,1.523,6.44875,.14399999,.242,3.9073153,2.494,5
317,1991,32.476,.855,.754,6.023,49.447,20.789999,1.057,0,.67018718,3.7820001,8
317,1992,28.055,.6850000000000001,-.135,-.098,48.933,14.112249,1.342,0,.8840937,3.3199999,8
319,1990,6.717,.333,1.601,-1.226,8.56,10.896748,.199,0,.99653822,2.6530001,1
319,1991,19.685,.314,3.472,-.324,25.465,52.082497,1.601,0,2.2884173,6.6280003,1
319,1992,31.807,0,6.926,-3.064,43.688,115.075,2.7950001,0,3.0755808,9.684,1
321,2001,10497.443,5296.419,1053.488,793.746,3972.802,4544.0225,47,0,.95894063,664.97302,8
321,2002,10504.985,5214.235,1119.314,827.958,4019.895,5096.3047,56,0,.9952606,649.54102,8
321,2003,10709.71,5521.89,1070.651,702.966,3908.816,5381.8403,56,0,1.0188109,620.19598,8
321,2004,11115.029,5462.109,1239.372,829.247,4238.104,10210.514,57,0,1.4197352,648.83698,8
321,2005,20699.42,12357.231,1793.38,1182.796,6481.967,10453.517,99,0,1.1269269,1042.528,8
321,2006,22146.238,12996.317,2048.723,1241.952,7175.956,16282.181,119,0,1.3280742,1194.847,8
321,2007,22727.686,11180.511,2027.925,994.4160000000001,7691.637,24682.471,141,0,1.6021113,1383.5649,8
321,2008,23274.716,12421.312,1713.808,753.032,7208.767,3804.7363,122,0,.76029259,1338.585,8
321,2009,22518.21,12978.748,1108.272,587.914,5978.589,4023.9446,118,0,.72531486,1213.011,8
321,2010,18961.045,12048.934,863.145,504.014,6019.233,7254.418,123,0,1.0070082,1275.546,8
321,2011,27766.276,13470.791,1394.817,675.126,7849.312,5098.5488,121,0,.63031083,1307.134,8
321,2012,26284.738,13589.628,1587.58,909.351,9160.843999999999,5694.6836,139,0,.71154946,1512.9821,8
321,2013,26110.185,13448.31,1982.541,1310.448,9809.663,11533.291,153,0,.93746901,1415.406,8
321,2014,26702.511,12922.149,2075.467,1127.008,10081.984,10503.823,156,0,.89155424,1481.819,8
321,2015,25215.178,12377.402,1867.807,1008.741,9190.067999999999,12833.142,156,0,.99304259,1540.885,8
321,2016,28173.301,12984.22,2135.915,1533.972,9455.123,16551.994,171,0,1.0506419,1652.5439,8
321,2017,29159.178,12751.052,2486.354,2206.411,10773.904,18907.955,223,0,1.1103455,1898.5439,8
321,2018,30210.706,15088.005,2431.137,1722.539,11763.096,12796.665,305,0,.93697822,2108.084,8
321,2019,33876.356,15514.056,2699.641,1810.401,12899.672,16739.734,257,0,.92800772,2339.542,8
322,1992,40.096,0,-11.106,-9.972,.896,333.73199,.012,5.5320001,7.4652834,5.8870001,1
322,1993,30.363,.046,-17.515,-13.329,4.936,223.63275,.071999997,12.388,6.7895055,8.0160007,1
323,1990,60.681,4.921,15.23,7.3,55.96,145.39087,.66600001,8.5579996,2.2781739,8.3370008,1
323,1991,71.84,2.745,20.841,17.117,73.806,203.40076,1.215,10.969,2.5039358,10.493,1
323,1992,95.54600000000001,.6830000000000001,25.558,22.748,86.95399999999999,279.741,2.1129999,13.106,2.4359367,13.434,1
323,1993,126.902,.174,30.689,26.295,110.184,476.72574,5.3439999,16.426001,3.2533195,16.125,1
323,1994,178.523,.04,42.765,48.201,153.932,745.52399,7.7410002,22.561001,3.8623538,23.806,1
323,2003,2367.962,0,507.336,581.794,1153.219,11070.122,13.2,272.32199,4.1053853,72.397011,1
323,2004,2549.462,0,682.835,695.454,1439.263,17007.354,11.1,306.32001,6.1769838,70.849991,1
323,2005,3004.071,0,854.572,699.0599999999999,1671.713,12516.82,11.3,328.164,3.604528,87.212997,1
323,2006,3286.537,0,635.999,619.11,1856.945,10277.608,9.3000002,514.138,2.653204,144.161,1
323,2007,3606.784,0,463.603,616.559,2009.124,10709.676,9.1999998,659.54102,2.5213616,195.27298,1
323,2008,3708.39,0,592.456,519.424,2052.783,6779.6958,7.5,577.74799,1.3893603,227.08702,1
323,2009,3081.775,0,360.594,445.795,1646.015,4801.438,6.8000002,521.62799,1.1309272,219.93501,1
324,1991,17.217,0,1.188,1.735,9.108000000000001,9.526,.050000001,.96100003,-.049195562,2.993,1
324,1992,17.817,0,2.459,.986,12.936,37.973251,.108,2.1930001,1.4895465,3.0929999,1
324,1993,17.709,0,1.53,.31,13.192,24.963875,.14,2.3329999,.70912391,4.7610002,1
324,1994,22.26,0,4.842,3.764,15.663,29.051874,.156,1.076,.55677783,4.5,1
324,1995,25.91,0,6.064,3.144,17.386,57.928501,.124,.92699999,1.5230992,3.5829999,1
324,1996,25.395,0,6.206,.186,17.304,40.311749,.107,.52200001,.99739122,3.7049999,1
324,1997,27.688,0,7.799,5.054,21.198,55.672249,.126,1.021,1.423586,4.362,1
324,1998,29.149,0,9.022,5.527,23.273,33.225937,.13500001,1.079,.50752813,3.984,1
